,0
0,Open
1,High
2,Low
3,Close
4,Volume
5,volume_adi
6,volume_obv
7,volume_cmf
8,volume_fi
9,volume_em
10,volume_sma_em
11,volume_vpt
12,volume_vwap
13,volume_mfi
14,volume_nvi
15,volatility_bbm
16,volatility_bbh
17,volatility_bbl
18,volatility_bbw
19,volatility_bbp
20,volatility_bbhi
21,volatility_bbli
22,volatility_kcc
23,volatility_kch
24,volatility_kcl
25,volatility_kcw
26,volatility_kcp
27,volatility_kchi
28,volatility_kcli
29,volatility_dcl
30,volatility_dch
31,volatility_dcm
32,volatility_dcw
33,volatility_dcp
34,volatility_atr
35,volatility_ui
36,trend_macd
37,trend_macd_signal
38,trend_macd_diff
39,trend_sma_fast
40,trend_sma_slow
41,trend_ema_fast
42,trend_ema_slow
43,trend_vortex_ind_pos
44,trend_vortex_ind_neg
45,trend_vortex_ind_diff
46,trend_trix
47,trend_mass_index
48,trend_dpo
49,trend_kst
50,trend_kst_sig
51,trend_kst_diff
52,trend_ichimoku_conv
53,trend_ichimoku_base
54,trend_ichimoku_a
55,trend_ichimoku_b
56,trend_stc
57,trend_adx
58,trend_adx_pos
59,trend_adx_neg
60,trend_cci
61,trend_visual_ichimoku_a
62,trend_visual_ichimoku_b
63,trend_aroon_up
64,trend_aroon_down
65,trend_aroon_ind
66,trend_psar_up
67,trend_psar_down
68,trend_psar_up_indicator
69,trend_psar_down_indicator
70,momentum_rsi
71,momentum_stoch_rsi
72,momentum_stoch_rsi_k
73,momentum_stoch_rsi_d
74,momentum_tsi
75,momentum_uo
76,momentum_stoch
77,momentum_stoch_signal
78,momentum_wr
79,momentum_ao
80,momentum_roc
81,momentum_ppo
82,momentum_ppo_signal
83,momentum_ppo_hist
84,momentum_pvo
85,momentum_pvo_signal
86,momentum_pvo_hist
87,momentum_kama
88,others_dr
89,others_dlr
90,others_cr
91,momentum_rsi_21
